Musician,Years,Hours,Sex,Age,Excerpt_filename,Filename,Excerpt,Condition,Track,ConditionCong,Selected,feat_PC1,feat_PC2,feat_PC3,feat_PC4,feat_PC5,feat_fact_PC1,feat_fact_PC2,feat_fact_PC3,feat_fact_PC4,feat_fact_PC5,feat_fact_mdn_PC1,feat_fact_mdn_PC2,feat_fact_mdn_PC3,feat_fact_mdn_PC4,feat_fact_mdn_PC5
M3,30,25,F,30,03_Ca_Dp_T2,03_Ca_Dp_T2.tsv,1CaFl,1Dp,T2,1Dp,1,0.21606,-1.51487,0.26038,-0.72342,0.16314,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,2High
M3,30,25,F,30,03_Ca_Fl_T1,03_Ca_Fl_T1.tsv,1CaFl,3Fl,T1,3Cong,1,0.28393,-1.26158,-0.01423,-0.07106,-0.41308,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low
M3,30,25,F,30,03_Ca_Fo_T1,03_Ca_Fo_T1.tsv,1CaFl,5Fo,T1,4Incong,1,0.39837,-0.89152,0.98438,0.07209,0.22322,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,2High
M3,30,25,F,30,03_Ca_Pr_T1,03_Ca_Pr_T1.tsv,1CaFl,2Pr,T1,2Pr,1,0.174,-0.89202,0.39153,-0.49606,-0.84506,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low
M3,30,25,F,30,03_Mo_Dp_T2,03_Mo_Dp_T2.tsv,5MoWa,1Dp,T2,1Dp,1,0.50015,-1.54468,0.06788,-0.51657,0.47611,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High
M3,30,25,F,30,03_Mo_In_T1,03_Mo_In_T1.tsv,5MoWa,6In,T1,4Incong,1,0.3769,-0.32607,0.74531,-0.1618,-0.93919,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low
M3,30,25,F,30,03_Mo_Pr_T2,03_Mo_Pr_T2.tsv,5MoWa,2Pr,T2,2Pr,1,0.4903,-0.68107,1.19423,0.32892,-0.34351,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low
M3,30,25,F,30,03_Mo_Wa_T1,03_Mo_Wa_T1.tsv,5MoWa,7Wa,T1,3Cong,1,0.46781,-0.41459,0.97701,0.19993,-0.39574,1Low,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low
M5,9,30,M,26,05_Br_Dp_T2,05_Br_Dp_T2.tsv,3BrFo,1Dp,T2,1Dp,1,1.10274,-0.31271,-0.89647,0.07646,0.29358,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High,2High
M5,9,30,M,26,05_Br_Fl_T2,05_Br_Fl_T2.tsv,3BrFo,3Fl,T2,4Incong,1,0.4878,0.32278,-0.60451,0.41966,-0.99907,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low
M5,9,30,M,26,05_Br_Fo_T2,05_Br_Fo_T2.tsv,3BrFo,5Fo,T2,3Cong,1,1.11613,0.30693,-1.16,0.936,-1.13388,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low
M5,9,30,M,26,05_Br_Pr_T2,05_Br_Pr_T2.tsv,3BrFo,2Pr,T2,2Pr,1,1.06865,0.21893,-0.85581,0.39733,-0.82082,2High,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low
M5,9,30,M,26,05_Ca_Dp_T1,05_Ca_Dp_T1.tsv,1CaFl,1Dp,T1,1Dp,1,0.16612,-1.20305,0.39114,-0.97928,-0.48441,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low
M5,9,30,M,26,05_Ca_Fl_T1,05_Ca_Fl_T1.tsv,1CaFl,3Fl,T1,3Cong,1,-0.51167,-0.54641,0.26244,-0.08418,-0.42683,1Low,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low
M5,9,30,M,26,05_Ca_Fo_T2,05_Ca_Fo_T2.tsv,1CaFl,5Fo,T2,4Incong,1,-0.00362,-0.4994,0.97991,0.38301,-2.03522,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,2High,1Low
M5,9,30,M,26,05_Ca_Pr_T2,05_Ca_Pr_T2.tsv,1CaFl,2Pr,T2,2Pr,1,-0.18087,-0.91622,0.8102,-0.0476,-1.29511,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low
M6,15,35,F,22,06_Pa_Dp_T2,06_Pa_Dp_T2.tsv,2PaMo,1Dp,T2,1Dp,1,0.85452,1.02831,0.19834,-2.11126,0.36901,2High,2High,1Low,1Low,1Low,2High,2High,1Low,1Low,2High
M6,15,35,F,22,06_Pa_In_T1,06_Pa_In_T1.tsv,2PaMo,6In,T1,4Incong,1,0.68208,1.45542,0.64627,-0.66973,-0.206,2High,2High,2High,1Low,1Low,2High,2High,2High,1Low,1Low
M6,15,35,F,22,06_Pa_Mo_T1,06_Pa_Mo_T1.tsv,2PaMo,4Mo,T1,3Cong,1,0.53151,1.53908,0.69654,-0.91853,-0.91243,2High,2High,2High,1Low,1Low,2High,2High,2High,1Low,1Low
M6,15,35,F,22,06_Pa_Pr_T2,06_Pa_Pr_T2.tsv,2PaMo,2Pr,T2,2Pr,1,0.74725,0.94713,0.07981,-1.38992,0.934,2High,2High,1Low,1Low,2High,2High,2High,1Low,1Low,2High
M6,15,35,F,22,06_Re_Dp_T1,06_Re_Dp_T1.tsv,4ReIn,1Dp,T1,1Dp,1,-1.5066,-0.26083,-1.28075,-1.92283,-1.1961,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low,1Low
M6,15,35,F,22,06_Re_In_T2,06_Re_In_T2.tsv,4ReIn,6In,T2,3Cong,1,-1.40452,0.38006,-0.29423,-1.42814,0.15068,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,2High
M6,15,35,F,22,06_Re_Mo_T1,06_Re_Mo_T1.tsv,4ReIn,4Mo,T1,4Incong,1,-2.05666,1.26857,-0.06771,-0.03702,-1.98711,1Low,2High,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low
M6,15,35,F,22,06_Re_Pr_T2,06_Re_Pr_T2.tsv,4ReIn,2Pr,T2,2Pr,1,-1.43007,-0.00701,-0.80436,-1.08098,-0.86423,1Low,1Low,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low
M7,10,4,M,23,07_Mo_Dp_T1,07_Mo_Dp_T1.tsv,5MoWa,1Dp,T1,1Dp,1,0.40145,-1.58736,0.4675,-0.39285,0.77397,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,1Low,2High
M7,10,4,M,23,07_Mo_In_T1,07_Mo_In_T1.tsv,5MoWa,6In,T1,4Incong,1,-0.46953,-0.60335,0.90106,0.45764,2.00403,1Low,1Low,2High,1Low,2High,1Low,1Low,2High,2High,2High
M7,10,4,M,23,07_Mo_Pr_T2,07_Mo_Pr_T2.tsv,5MoWa,2Pr,T2,2Pr,1,0.73322,-0.73239,1.51905,1.32451,0.95449,2High,1Low,2High,2High,2High,2High,1Low,2High,2High,2High
M7,10,4,M,23,07_Mo_Wa_T1,07_Mo_Wa_T1.tsv,5MoWa,7Wa,T1,3Cong,1,0.69407,-0.10428,1.62369,1.33747,0.83175,2High,1Low,2High,2High,2High,2High,2High,2High,2High,2High
M7,10,4,M,23,07_Re_Dp_T2,07_Re_Dp_T2.tsv,4ReIn,1Dp,T2,1Dp,1,-1.76798,-1.30681,-1.56642,-0.14404,1.41859,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,1Low,2High
M7,10,4,M,23,07_Re_In_T2,07_Re_In_T2.tsv,4ReIn,6In,T2,3Cong,1,-1.7345,-0.37954,-1.01476,0.49108,1.71027,1Low,1Low,1Low,1Low,2High,1Low,1Low,1Low,2High,2High
M7,10,4,M,23,07_Re_Mo_T2,07_Re_Mo_T2.tsv,4ReIn,4Mo,T2,4Incong,1,-2.50551,0.98699,0.92359,2.79741,-0.41989,1Low,2High,2High,2High,1Low,1Low,2High,2High,2High,1Low
M7,10,4,M,23,07_Re_Pr_T1,07_Re_Pr_T1.tsv,4ReIn,2Pr,T1,2Pr,1,-1.84474,-0.37124,-0.19789,0.81784,1.06446,1Low,1Low,1Low,2High,2High,1Low,1Low,1Low,2High,2High
M10,15,28,M,26,10_Br_Dp_T2,10_Br_Dp_T2.tsv,3BrFo,1Dp,T2,1Dp,1,1.04199,0.04731,-1.8469,0.93358,0.2219,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,2High
M10,15,28,M,26,10_Br_Fl_T2,10_Br_Fl_T2.tsv,3BrFo,3Fl,T2,4Incong,1,0.45086,0.25768,-1.3637,0.21307,0.07386,1Low,1Low,1Low,1Low,1Low,2High,2High,1Low,2High,2High
M10,15,28,M,26,10_Br_Fo_T2,10_Br_Fo_T2.tsv,3BrFo,5Fo,T2,3Cong,1,1.21459,0.29419,-2.3025,1.78157,-0.15181,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,1Low
M10,15,28,M,26,10_Br_Pr_T1,10_Br_Pr_T1.tsv,3BrFo,2Pr,T1,2Pr,1,0.90316,0.47569,-1.79625,1.19927,-0.03048,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High,2High
M10,15,28,M,26,10_Pa_Dp_T2,10_Pa_Dp_T2.tsv,2PaMo,1Dp,T2,1Dp,1,0.53372,1.15954,-0.41026,-1.22912,1.78926,2High,2High,1Low,1Low,2High,2High,2High,1Low,1Low,2High
M10,15,28,M,26,10_Pa_In_T1,10_Pa_In_T1.tsv,2PaMo,6In,T1,4Incong,1,-0.09457,1.88475,0.68987,0.06648,1.13016,1Low,2High,2High,1Low,2High,1Low,2High,2High,2High,2High
M10,15,28,M,26,10_Pa_Mo_T1,10_Pa_Mo_T1.tsv,2PaMo,4Mo,T1,3Cong,1,-0.15554,2.13857,1.2038,0.83975,-0.19361,1Low,2High,2High,2High,1Low,1Low,2High,2High,2High,1Low
M10,15,28,M,26,10_Pa_Pr_T2,10_Pa_Pr_T2.tsv,2PaMo,2Pr,T2,2Pr,0,0.02902,1.64508,0.46283,-0.66872,1.51108,1Low,2High,1Low,1Low,2High,1Low,2High,2High,1Low,2High
